sampleID	CDNA	detected_genes	detected_spikes	read_pairs	pct_trim_Illum	pct_trim_Nex	pct_trim_Smart	per_base_quality_read1	per_base_quality_read2	per_seq_GC_read1	per_seq_GC_read2	paired_total	pct_alignment	paired_aligned_multi	paired_aligned_none	pct_duplication	pct_assigned	assigned	unassigned_ambiguity	unassigned_unmapped	unassigned_multimapping	unassigned_nofeatures	pct_assigned_dedup	assigned_dedup	unassigned_duplicate_dedup	pct_ambiguity	pct_multimapping	pct_nofeatures	top500tpm	batchvar	library_type	QCpass
WTCHG_168020_701502	20141119_C51	1.99	7107	39	1594655	4.2499474808	28.4181143035	9.65870185069	pass	pass	pass	pass	1593299	94.71	290636	140680	0.091371	60.532117165	1066200	65480	48579	260878	320242	52.8069200325	930130	170350	0.0410971198751772	0.16373449051308	0.200993033950313	69.2681927361924	p4	single cell	TRUE
WTCHG_168020_701503	20141119_C04	0.81	5134	41	2005760	3.8826679164	28.8521568985	11.0380052768	pass	pass	pass	pass	2004248	94.88	355502	175277	0.202684	68.4326932558	1485166	75592	55920	273332	280248	50.8853786048	1104344	441027	0.0377158914465675	0.136376336660932	0.139827007436205	82.6037689739898	p4	single cell	TRUE
WTCHG_168020_701504	20141208_C39	0.96	8317	43	2531145	5.50027754238	43.870002556	15.9067212573	pass	pass	fail	fail	2516672	89.32	410836	404195	0.257913	40.406204429	1171230	41354	180669	531745	973641	24.3833399054	706785	744971	0.0164320181573125	0.211288956208835	0.386876398672533	87.860877425672	p5	single cell	FALSE
WTCHG_168020_701505	20141208_C40	0.67	6120	47	2686777	5.56138451386	37.6747041576	12.7116402758	pass	pass	pass	pass	2680787	90.97	409005	362285	0.251737	44.7287587791	1322060	30826	164312	384504	1054025	24.9598153009	737744	712884	0.0114988620878869	0.143429522748357	0.393177451248458	89.07922492215	p5	single cell	TRUE
WTCHG_168020_701506	20141208_C82	1.32	6275	48	2094079	3.50063202009	29.5570105558	9.97449836511	pass	pass	fail	warn	2092807	94.86	349825	191029	0.136557	51.0266500446	1150156	48050	54888	252263	748673	40.3947596083	910510	318669	0.022959594458543	0.120538109820925	0.357736284330089	79.8256892250395	p5	single cell	TRUE
WTCHG_168020_701507	20141211_C68	0.27	6091	43	2089300	4.44431149189	32.0931455971	12.7961578537	pass	pass	pass	pass	2085501	92.62	382562	239401	0.203614	47.6938786702	1121895	43852	97971	411354	677211	33.5229647113	788555	542918	0.0210270817419891	0.197244690844071	0.324723411784506	89.5480184343679	p6	single cell	TRUE
WTCHG_168020_701508	20141211_C48	0.35	6918	44	1457954	3.78564755815	27.9861667893	14.1303862577	pass	pass	pass	pass	1455997	93.22	245676	157042	0.266732	54.3354761453	847603	18730	60245	162494	470872	31.4083069649	489952	402668	0.0128640374945827	0.111603251929777	0.32340176525089	95.2699752468975	p6	single cell	TRUE
WTCHG_168020_701517	20141119_C15	0.5	4455	39	1981120	9.56645735745	34.6364216068	11.1034536927	pass	pass	pass	pass	1973395	87.46	284245	333869	0.252191	40.361905963	838519	9508	188958	153431	887085	19.8256944281	411879	483501	0.00481809267784706	0.0777497662657501	0.44952226999663	94.5563336379386	p4	single cell	FALSE
WTCHG_168020_702502	20141119_C57	0.72	4085	38	1922831	5.65171874179	35.6247994299	17.0078574318	pass	pass	pass	warn	1918184	91.41	435393	248854	0.259447	38.0523335103	1085404	39374	106613	1193220	427787	26.3480061338	751550	1067483	0.0205267065099073	0.6220571123521	0.223016665763034	90.1001646128942	p4	single cell	FALSE
WTCHG_168020_702503	20141119_C16	0.59	3564	35	1779865	5.35461959194	31.8890429365	11.0835763806	pass	pass	pass	pass	1776746	93.67	322384	175509	0.248851	64.3872409569	1256150	49935	73675	285623	285547	43.9767187957	857955	477614	0.0281047487935811	0.160756236400701	0.160713461575262	91.5149927490044	p4	single cell	TRUE
WTCHG_168020_702504	20141208_C49	0.4	3935	45	2865002	6.73420123267	43.1444858395	11.5218827147	pass	pass	pass	pass	2856981	90.64	449164	396328	0.407193	54.6019059707	1689763	19114	188939	369633	827247	21.5989874288	668423	1167210	0.00669027900430559	0.129378879313513	0.289552853169132	98.0656509118781	p5	single cell	FALSE
WTCHG_168020_702505	20141208_C11	0.72	5338	44	1881031	4.66616445981	34.7967137812	12.8032136897	pass	pass	pass	pass	1877966	92.85	342531	212149	0.28484	49.6383833261	1078583	26283	84813	419698	563504	28.0330123923	609124	593275	0.0139954610466856	0.223485409214011	0.300060810472607	95.2804007879068	p5	single cell	TRUE
WTCHG_168020_702506	20141211_C15	0.32	6521	48	2087694	6.43853936449	35.6383269796	12.379052187	pass	pass	pass	pass	2081993	91.02	345135	272964	0.239647	45.052280041	1056289	28335	131431	375082	753448	26.3094321596	616847	532990	0.0136095558438477	0.180155264691092	0.361887864176296	91.7783805781126	p6	single cell	TRUE
WTCHG_168020_702507	20141211_C80	0.32	6187	44	1747283	5.09654131586	30.5325609278	12.9776581606	pass	pass	pass	pass	1744082	92.66	302117	200652	0.20881	54.1023681409	1044173	36548	81066	281229	486979	37.4997862689	723744	398920	0.020955436728319	0.161247578955577	0.279217949614754	90.856900850474	p6	single cell	TRUE
WTCHG_168020_702508	20141211_C84	0.31	4412	46	2143114	4.61720655084	35.0011563178	10.436417294	pass	pass	pass	pass	2139489	93.63	378662	214486	0.352569	52.7922809539	1254806	23766	90911	365736	641655	24.7550774673	588397	797987	0.0111082599630099	0.170945492124521	0.299910399165408	98.2007963532479	p6	single cell	FALSE
WTCHG_168020_702517	20141119_C21	1	5947	39	1509430	5.69433494763	34.9862279061	10.470296504	pass	pass	pass	pass	1506624	92.9	280386	165927	0.111055	58.9153520982	999985	55500	70194	293924	277722	50.0231835388	849056	200126	0.0368373263667644	0.195087825495943	0.184333981139289	74.8874811061685	p4	single cell	TRUE
