sampleID	disease	CDNA	dsp_fr	detected_genes	detected_spikes	read_pairs	pct_trim_Illum	pct_trim_Nex	pct_trim_Smart	per_base_quality_read1	per_base_quality_read2	per_seq_GC_read1	per_seq_GC_read2	paired_total	pct_alignment	paired_aligned_multi	paired_aligned_none	pct_duplication	pct_assigned	assigned	unassigned_ambiguity	unassigned_unmapped	unassigned_multimapping	unassigned_nofeatures	pct_assigned_dedup	assigned_dedup	unassigned_duplicate_dedup	pct_ambiguity	pct_multimapping	pct_nofeatures	top500tpm	batchvar	library_type	QCpass
WTCHG_288196_201201	20151130_C02	Inflamed	0.205	Fresh	2469	40	1609681	3.066756705	8.515672014	18.27645053	pass	pass	pass	pass	1597378	94.65	243782	153143	0.310639	57.05934156	1114426	48601	30179	511930	247964	36.40305156	710988	623611	0.030425485	0.320481439	0.155231886	96.36998883	p12	single cell	TRUE
WTCHG_288196_201202	20151130_C27	Inflamed	0.246	Fresh	3249	41	1520556	3.827941884	9.433739094	27.28260135	pass	pass	warn	warn	1495191	90.76	159850	239567	0.413345	57.1464287	971455	20219	57368	299923	350975	28.62901044	486676	709470	0.013522687	0.200591764	0.234735897	95.80402853	p12	single cell	TRUE
WTCHG_288196_201203	20151130_C64	Uninflamed	0.232	Fresh	2844	39	1593752	3.164545048	8.971293905	21.98557581	pass	pass	warn	warn	1582342	92.31	179511	221761	0.371581	52.12535844	921985	26436	45259	282392	492712	27.16894771	480560	664093	0.016706881	0.17846458	0.311381484	93.57533581	p12	single cell	TRUE
WTCHG_288196_201204	20151130_C91	Uninflamed	0.251	Fresh	3062	43	1664684	3.098245673	7.6967193	12.47700401	pass	pass	pass	warn	1657898	94.89	176893	165304	0.176549	46.8313795	831242	35856	24171	180914	702785	35.34086248	627289	337842	0.021627386	0.109122515	0.423901229	84.04202486	p12	single cell	TRUE
WTCHG_288196_202201	20151130_C03	Uninflamed	0.188	Fresh	2239	45	1387595	3.880527099	9.03786145	20.08651907	pass	pass	warn	pass	1366404	91.93	172713	191111	0.45298	54.27020958	868160	9968	42535	336768	342268	22.26812669	356223	719404	0.007295061	0.246462979	0.250488143	97.60649749	p12	single cell	TRUE
WTCHG_288196_202202	20151130_C31	Inflamed	0.289	Fresh	2612	48	1237421	4.72563501	9.935596958	12.3434396	pass	pass	pass	warn	1210635	94.34	133020	120720	0.19538	50.06758178	647498	25704	28161	127663	464222	36.08248379	466636	264579	0.021231833	0.105451271	0.383453312	92.28349485	p12	outlier: endothelial	TRUE
WTCHG_288196_202203	20151130_C66	Uninflamed	0.228	Fresh	3086	44	1880349	3.077247894	8.987481593	12.10696129	pass	pass	warn	warn	1873575	95	212871	181277	0.172302	38.76274558	790046	30408	29763	247200	940741	29.27825026	596737	377598	0.016229935	0.131940275	0.502110137	86.7279105	p12	single cell	TRUE
WTCHG_288196_202204	20151130_C96	Uninflamed	0.168	Fresh	1851	42	1123732	3.481168108	7.524734493	30.44346931	pass	pass	fail	fail	1111644	86.9	117795	254108	0.579469	66.8853592	871038	5860	60218	279857	85312	25.37340137	330434	762906	0.005271472	0.25175056	0.076743994	98.24883634	p12	single cell	FALSE
WTCHG_288196_203201	20151130_C06	Uninflamed	0.162	Fresh	1082	42	1148832	3.63482215	8.503563406	22.59213572	pass	pass	fail	warn	1132487	89.68	141873	188000	0.589605	67.54369255	900633	2858	53871	296815	79231	24.06345245	320864	763123	0.002523649	0.262091309	0.069961951	99.91132057	p12	single cell	FALSE
WTCHG_288196_203202	20151130_C34	empty	0.138	Fresh	993	44	1346919	4.604508512	8.532635728	15.15189972	pass	pass	fail	warn	1323801	92.17	76825	182293	0.723144	95.72803999	1279523	308	31697	19707	5388	24.90216015	332848	958123	0.000232663	0.014886679	0.004070098	95.95994069	p12	empty site control	FALSE
